strategy,window,trade_no,true_alpha,q25_alpha_estimate,median_alpha_estimate,q75_alpha_estimate,median_spread
full-history,0,102,0.40000000000000002,0.085583796120548089,0.097934014950917608,0.13198399535077507,1.1544494448269376
full-history,0,103,0.40000000000000002,0.083492923239329817,0.093601940773174755,0.13820145726419797,1.24740881299509
full-history,0,104,0.40000000000000002,0.084943776763335185,0.096874763062460595,0.12979871500619353,1.1510886968416258
full-history,0,105,0.40000000000000002,0.082924353564412218,0.10052452012934988,0.13583584996133705,1.0529907858561813
full-history,0,106,0.40000000000000002,0.084327408478082261,0.095859766228119314,0.14212520129603526,1.1477767479493082
full-history,0,107,0.40000000000000002,0.086151892537159186,0.099392952495441195,0.13357286984253769,1.050894514343355
full-history,0,108,0.40000000000000002,0.083733418770318452,0.10327503064296586,0.13968785944130807,0.9542887064735055
full-history,0,109,0.40000000000000002,0.085499376082618289,0.098308324894411256,0.14602955294092171,1.0488004252618595
full-history,0,110,0.40000000000000002,0.083160624976284334,0.10206991936788808,0.13735318710289707,0.95328483762723693
full-history,0,111,0.40000000000000002,0.084870787624502411,0.10615558014657443,0.14352709343456405,0.85973531520245672
full-history,0,112,0.40000000000000002,0.082607926408783339,0.10091429075286093,0.14990356579281103,0.95224611628431433
full-history,0,113,0.40000000000000002,0.084264859698533964,0.10487675049147924,0.14112688642008686,0.85965198016647548
full-history,0,114,0.40000000000000002,0.086287623905406882,0.10914117697391404,0.14734262929415065,0.77035210463569115
full-history,0,115,0.40000000000000002,0.083680412504335694,0.10364975957434058,0.15373796541836748,0.85950558247860442
full-history,0,116,0.40000000000000002,0.084620998097837921,0.10778929084096016,0.14488311175394278,0.77102444563925587
full-history,0,117,0.40000000000000002,0.083116346427930213,0.11221095041520582,0.15112514633968785,0.68682706450019282
full-history,0,118,0.40000000000000002,0.085018936548508478,0.1064913820779448,0.15752482452661323,0.77161337160141841
full-history,0,119,0.40000000000000002,0.082571635314768604,0.11078733865058475,0.16405614856600942,0.68810196515369171
full-history,0,120,0.40000000000000002,0.084418040804287442,0.11534741312124011,0.15486661288211884,0.60956064280918554
full-history,0,121,0.40000000000000002,0.0865847783443668,0.10941960457415656,0.16125731674784147,0.68927988952108876
full-history,0,122,0.40000000000000002,0.083837947639533367,0.11385394572357457,0.16775894468989841,0.61129966817367176
full-history,0,123,0.40000000000000002,0.085942117647670582,0.1185358275977961,0.15856004893489575,0.53871505334798542
full-history,0,124,0.40000000000000002,0.088344672240258965,0.11241800482268434,0.16492953306815175,0.6129338640229065
full-history,0,125,0.40000000000000002,0.085321836460574063,0.11697481300349849,0.1713902437758556,0.54079593582277141
full-history,0,126,0.40000000000000002,0.087656498237236757,0.12176366740441698,0.17791663545698533,0.47426277884504486
full-history,0,127,0.40000000000000002,0.090270151022599582,0.11547271499705004,0.16853634724913549,0.54276880231094538
full-history,0,128,0.40000000000000002,0.086992351054885592,0.12013777369654854,0.17494591185011157,0.47657978883279384
full-history,0,129,0.40000000000000002,0.089533682493341593,0.1250201647666698,0.18140337894138336,0.41603145578913825
